GP-No;Name;Time;Timegap;X;Y;X-offset;Y-offset;Pupil Diameter Left (mm);Pupil Diameter Right (mm);Mouse X-coord;Mouse Y-coord;AoI
1;CANDIDA;0;0;902;399;0;0;4,62;4,44;-;-;-
2;CANDIDA;16;16;883;326;0;0;4,62;4,52;-;-;-
3;CANDIDA;33;16;894;411;0;0;4,57;4,49;-;-;-
4;CANDIDA;49;16;921;396;0;0;4,67;4,56;-;-;-
5;CANDIDA;66;16;886;393;0;0;4,62;4,51;-;-;-
6;CANDIDA;83;16;867;401;0;0;4,65;4,54;-;-;-
7;CANDIDA;99;16;879;404;0;0;4,64;4,54;-;-;-
8;CANDIDA;116;16;864;399;0;0;4,65;4,6;-;-;-
9;CANDIDA;133;16;910;403;0;0;4,67;4,57;-;-;-
10;CANDIDA;149;16;904;413;0;0;4,67;4,62;-;-;-
11;CANDIDA;166;16;912;420;0;0;4,8;4,65;-;-;-
12;CANDIDA;182;16;892;397;0;0;4,7;4,64;-;-;-
13;CANDIDA;199;16;903;416;0;0;4,73;4,75;-;-;-
14;CANDIDA;216;16;903;409;0;0;4,76;4,67;-;-;-
15;CANDIDA;232;16;867;393;0;0;4,76;4,62;-;-;-
16;CANDIDA;249;16;889;390;0;0;4,73;4,73;-;-;-
17;CANDIDA;266;16;892;400;0;0;4,7;4,75;-;-;-
18;CANDIDA;282;16;892;413;0;0;4,78;4,76;-;-;-
19;CANDIDA;299;16;880;403;0;0;4,78;4,68;-;-;-
20;CANDIDA;316;16;880;407;0;0;4,73;4,73;-;-;-
21;CANDIDA;332;16;876;374;0;0;4,7;4,65;-;-;-
22;CANDIDA;349;16;902;416;0;0;4,8;4,75;-;-;-
23;CANDIDA;365;16;893;386;0;0;4,68;4,65;-;-;-
24;CANDIDA;382;16;894;416;0;0;4,75;4,75;-;-;-
25;CANDIDA;399;16;906;409;0;0;4,76;4,7;-;-;-
26;CANDIDA;415;16;906;401;0;0;4,7;4,67;-;-;-
27;CANDIDA;432;16;913;388;0;0;4,72;4,65;-;-;-
28;CANDIDA;449;16;913;404;0;0;4,72;4,65;-;-;-
29;CANDIDA;465;16;924;375;0;0;4,7;4,67;-;-;-
30;CANDIDA;482;16;880;399;0;0;4,6;4,65;-;-;-
31;CANDIDA;499;16;926;383;0;0;4,59;4,62;-;-;-
32;CANDIDA;515;16;896;416;0;0;4,51;4,57;-;-;-
33;CANDIDA;532;16;900;422;0;0;4,57;4,54;-;-;-
34;CANDIDA;548;16;907;419;0;0;4,48;4,56;-;-;-
35;CANDIDA;565;16;910;424;0;0;4,51;4,49;-;-;-
36;CANDIDA;582;16;912;404;0;0;4,41;4,48;-;-;-
37;CANDIDA;598;16;920;403;0;0;4,44;4,38;-;-;-
38;CANDIDA;615;16;923;416;0;0;4,35;4,32;-;-;-
39;CANDIDA;632;16;920;423;0;0;4,33;4,38;-;-;-
40;CANDIDA;648;16;913;436;0;0;4,3;4,36;-;-;-
41;CANDIDA;665;16;927;427;0;0;4,28;4,3;-;-;-
42;CANDIDA;682;16;934;423;0;0;4,22;4,25;-;-;-
43;CANDIDA;698;16;937;406;0;0;4,25;4,19;-;-;-
44;CANDIDA;715;16;929;404;0;0;4,24;4,17;-;-;-
45;CANDIDA;731;16;936;409;0;0;4,15;4,15;-;-;-
46;CANDIDA;748;16;508;588;0;0;4,19;4,12;-;-;-
47;CANDIDA;765;16;254;648;0;0;3,95;4,14;-;-;-
48;CANDIDA;781;16;272;686;0;0;4,06;4,12;-;-;-
49;CANDIDA;798;16;233;689;0;0;3,99;4,09;-;-;-
50;CANDIDA;815;16;237;676;0;0;3,96;4,06;-;-;-
51;CANDIDA;831;16;264;689;0;0;3,93;4,09;-;-;-
52;CANDIDA;848;16;245;710;0;0;4,04;4,07;-;-;-
53;CANDIDA;865;16;274;689;0;0;3,96;4,11;-;-;-
54;CANDIDA;881;16;248;679;0;0;3,99;4,11;-;-;-
55;CANDIDA;898;16;264;673;0;0;3,98;4,07;-;-;-
56;CANDIDA;914;16;264;693;0;0;4,04;4,04;-;-;-
57;CANDIDA;931;16;268;681;0;0;4,01;4,12;-;-;-
58;CANDIDA;948;16;268;689;0;0;3,95;4,07;-;-;-
59;CANDIDA;964;16;290;670;0;0;4,07;4,15;-;-;-
60;CANDIDA;981;16;275;680;0;0;4,04;4,12;-;-;-
61;CANDIDA;998;16;284;703;0;0;4,14;4,19;-;-;-
62;CANDIDA;1014;16;277;681;0;0;4,11;4,09;-;-;-
63;CANDIDA;1031;16;284;690;0;0;4,14;4,2;-;-;-
64;CANDIDA;1048;16;280;670;0;0;4,14;4,22;-;-;-
65;CANDIDA;1064;16;287;696;0;0;4,17;4,25;-;-;-
66;CANDIDA;1081;16;285;681;0;0;4,17;4,25;-;-;-
67;CANDIDA;1097;16;157;764;0;0;4,28;4,28;-;-;-
68;CANDIDA;1114;16;106;820;0;0;4,19;4,27;-;-;-
69;CANDIDA;1131;16;106;801;0;0;4,22;4,35;-;-;-
70;CANDIDA;1147;16;81;804;0;0;4,28;4,3;-;-;-
71;CANDIDA;1164;16;78;809;0;0;4,27;4,36;-;-;-
72;CANDIDA;1181;16;94;820;0;0;4,25;4,36;-;-;-
73;CANDIDA;1197;16;76;807;0;0;4,35;4,38;-;-;-
74;CANDIDA;1214;16;74;809;0;0;4,33;4,4;-;-;-
75;CANDIDA;1230;16;77;826;0;0;4,4;4,4;-;-;-
76;CANDIDA;1247;16;76;830;0;0;4,38;4,54;-;-;-
77;CANDIDA;1264;16;81;811;0;0;4,43;4,38;-;-;-
78;CANDIDA;1280;16;81;839;0;0;4,49;4,44;-;-;-
79;CANDIDA;1297;16;84;814;0;0;4,49;4,51;-;-;-
80;CANDIDA;1314;16;84;817;0;0;4,44;4,56;-;-;-
81;CANDIDA;1330;16;87;810;0;0;4,51;4,56;-;-;-
82;CANDIDA;1347;16;87;797;0;0;4,51;4,54;-;-;-
83;CANDIDA;1364;16;74;811;0;0;4,56;4,57;-;-;-
84;CANDIDA;1380;16;74;824;0;0;4,6;4,65;-;-;-
85;CANDIDA;1397;16;83;817;0;0;4,59;4,64;-;-;-
86;CANDIDA;1413;16;88;807;0;0;4,54;4,68;-;-;-
87;CANDIDA;1430;16;81;824;0;0;4,54;4,68;-;-;-
88;CANDIDA;1447;16;73;830;0;0;4,62;4,8;-;-;-
89;CANDIDA;1463;16;98;823;0;0;4,62;4,76;-;-;-
90;CANDIDA;1480;16;93;833;0;0;4,68;4,81;-;-;-
91;CANDIDA;1497;16;107;814;0;0;4,67;4,75;-;-;-
92;CANDIDA;1513;16;104;797;0;0;4,65;4,78;-;-;-
93;CANDIDA;1530;16;104;810;0;0;4,76;4,81;-;-;-
94;CANDIDA;1547;16;111;823;0;0;4,83;4,81;-;-;-
95;CANDIDA;1563;16;114;819;0;0;4,83;4,92;-;-;-
96;CANDIDA;1580;16;81;819;0;0;4,76;4,91;-;-;-
97;CANDIDA;1596;16;120;820;0;0;4,81;4,96;-;-;-
98;CANDIDA;1613;16;88;814;0;0;4,76;5,01;-;-;-
99;CANDIDA;1630;16;107;804;0;0;4,86;4,99;-;-;-
100;CANDIDA;1646;16;148;836;0;0;4,88;5,07;-;-;-
101;CANDIDA;1663;16;566;746;0;0;4,96;5,09;-;-;-
102;CANDIDA;1680;16;824;752;0;0;5,12;5,07;-;-;-
103;CANDIDA;1696;16;752;748;0;0;5,07;4,99;-;-;-
104;CANDIDA;1713;16;817;741;0;0;5,1;5,01;-;-;-
105;CANDIDA;1730;16;817;749;0;0;5,12;5,09;-;-;-
106;CANDIDA;1746;16;820;749;0;0;5,13;5,02;-;-;-
107;CANDIDA;1763;16;813;746;0;0;5,05;5,04;-;-;-
108;CANDIDA;1779;16;820;755;0;0;5,15;5,04;-;-;-
109;CANDIDA;1796;16;819;741;0;0;5,13;5,04;-;-;-
110;CANDIDA;1813;16;824;748;0;0;5,13;5,05;-;-;-
111;CANDIDA;1829;16;826;761;0;0;5,21;5,17;-;-;-
112;CANDIDA;1846;16;826;758;0;0;5,15;5,15;-;-;-
113;CANDIDA;1863;16;826;757;0;0;5,15;5,13;-;-;-
114;CANDIDA;1879;16;823;736;0;0;5,18;5,15;-;-;-
115;CANDIDA;1896;16;820;757;0;0;5,18;5,13;-;-;-
116;CANDIDA;1913;16;824;736;0;0;5,15;5,05;-;-;-
117;CANDIDA;1929;16;815;748;0;0;5,13;5,13;-;-;-
118;CANDIDA;1946;16;819;748;0;0;5,13;5,1;-;-;-
119;CANDIDA;1962;16;815;749;0;0;5,15;5,12;-;-;-
120;CANDIDA;1979;16;815;744;0;0;5,04;4,97;-;-;-
121;CANDIDA;1996;16;819;742;0;0;5,1;5,04;-;-;-
122;CANDIDA;2012;16;816;755;0;0;5,07;5,12;-;-;-
123;CANDIDA;2029;16;812;744;0;0;5,09;5,1;-;-;-
124;CANDIDA;2046;16;813;736;0;0;5,05;5,1;-;-;-
125;CANDIDA;2062;16;805;746;0;0;5,01;5,07;-;-;-
126;CANDIDA;2079;16;805;761;0;0;5,07;5,05;-;-;-
127;CANDIDA;2096;16;805;749;0;0;4,97;5,07;-;-;-
128;CANDIDA;2112;16;812;742;0;0;5,02;4,96;-;-;-
129;CANDIDA;2129;16;809;744;0;0;5,02;5,01;-;-;-
130;CANDIDA;2145;16;810;758;0;0;5,02;5,04;-;-;-
131;CANDIDA;2162;16;807;745;0;0;4,96;5,05;-;-;-
132;CANDIDA;2179;16;806;748;0;0;4,97;4,97;-;-;-
133;CANDIDA;2195;16;805;751;0;0;4,89;4,99;-;-;-
134;CANDIDA;2212;16;805;741;0;0;4,96;4,94;-;-;-
135;CANDIDA;2229;16;810;741;0;0;4,99;5,01;-;-;-
136;CANDIDA;2245;16;800;745;0;0;4,89;4,96;-;-;-
137;CANDIDA;2262;16;802;757;0;0;4,96;4,91;-;-;-
138;CANDIDA;2279;16;810;739;0;0;4,96;4,97;-;-;-
139;CANDIDA;2295;16;796;742;0;0;4,88;4,92;-;-;-
140;CANDIDA;2312;16;799;736;0;0;4,91;4,91;-;-;-
141;CANDIDA;2328;16;809;749;0;0;4,91;4,96;-;-;-
142;CANDIDA;2345;16;802;742;0;0;4,89;4,92;-;-;-
143;CANDIDA;2362;16;802;744;0;0;4,92;4,94;-;-;-
144;CANDIDA;2378;16;795;744;0;0;4,88;4,94;-;-;-
145;CANDIDA;2395;16;789;741;0;0;4,86;4,91;-;-;-
146;CANDIDA;2412;16;802;746;0;0;4,89;4,91;-;-;-
147;CANDIDA;2428;16;797;736;0;0;4,81;4,88;-;-;-
148;CANDIDA;2445;16;800;749;0;0;4,86;4,94;-;-;-
149;CANDIDA;2461;16;792;757;0;0;4,91;4,94;-;-;-
150;CANDIDA;2478;16;785;716;0;0;4,86;4,86;-;-;-
151;CANDIDA;2495;16;790;732;0;0;4,84;4,89;-;-;-
152;CANDIDA;2511;16;795;751;0;0;4,89;4,86;-;-;-
153;CANDIDA;2528;16;790;755;0;0;4,94;4,94;-;-;-
154;CANDIDA;2545;16;795;726;0;0;4,83;4,89;-;-;-
155;CANDIDA;2561;16;793;726;0;0;4,81;4,88;-;-;-
156;CANDIDA;2578;16;793;719;0;0;4,88;4,88;-;-;-
157;CANDIDA;2595;16;790;744;0;0;4,89;4,92;-;-;-
158;CANDIDA;2611;16;799;731;0;0;4,89;4,88;-;-;-
159;CANDIDA;2628;16;789;738;0;0;4,83;4,88;-;-;-
160;CANDIDA;2644;16;783;723;0;0;4,88;4,94;-;-;-
161;CANDIDA;2661;16;782;725;0;0;4,89;4,88;-;-;-
162;CANDIDA;2678;16;797;703;0;0;4,89;4,84;-;-;-
163;CANDIDA;2694;16;789;722;0;0;4,89;4,89;-;-;-
164;CANDIDA;2711;16;796;725;0;0;4,88;4,94;-;-;-
165;CANDIDA;2728;16;799;733;0;0;4,88;4,92;-;-;-
166;CANDIDA;2744;16;797;728;0;0;4,89;4,88;-;-;-
167;CANDIDA;2761;16;796;738;0;0;4,89;4,92;-;-;-
168;CANDIDA;2778;16;786;719;0;0;4,88;4,92;-;-;-
169;CANDIDA;2794;16;797;707;0;0;4,99;4,97;-;-;-
170;CANDIDA;2811;16;803;735;0;0;4,91;4,96;-;-;-
171;CANDIDA;2827;16;789;733;0;0;4,96;5,01;-;-;-
172;CANDIDA;2844;16;797;716;0;0;4,99;4,99;-;-;-
173;CANDIDA;2861;16;793;741;0;0;4,99;5,12;-;-;-
174;CANDIDA;2877;16;680;693;0;0;5,01;5,07;-;-;-
175;CANDIDA;2894;16;638;664;0;0;4,92;5,04;-;-;-
176;CANDIDA;2911;16;655;660;0;0;4,92;5,07;-;-;-
177;CANDIDA;2927;16;648;635;0;0;4,96;5,04;-;-;-
178;CANDIDA;2944;16;640;637;0;0;4,99;4,99;-;-;-
179;CANDIDA;2961;16;643;640;0;0;4,92;4,99;-;-;-
180;CANDIDA;2977;16;643;619;0;0;4,91;4,97;-;-;-
181;CANDIDA;2994;16;639;635;0;0;4,92;5,04;-;-;-
182;CANDIDA;3010;16;645;638;0;0;5,02;5,02;-;-;-
183;CANDIDA;3027;16;648;627;0;0;5,02;5,09;-;-;-
184;CANDIDA;3044;16;645;615;0;0;5,04;4,99;-;-;-
185;CANDIDA;3060;16;642;612;0;0;4,97;5,02;-;-;-
186;CANDIDA;3077;16;642;630;0;0;5,05;5,01;-;-;-
187;CANDIDA;3094;16;645;621;0;0;5,02;5,05;-;-;-
188;CANDIDA;3110;16;630;618;0;0;5,02;5,04;-;-;-
189;CANDIDA;3127;16;639;621;0;0;4,97;5,04;-;-;-
190;CANDIDA;3144;16;626;606;0;0;4,99;5,04;-;-;-
191;CANDIDA;3160;16;630;622;0;0;4,97;5,02;-;-;-
192;CANDIDA;3177;16;625;614;0;0;5,02;4,92;-;-;-
193;CANDIDA;3193;16;623;619;0;0;4,92;4,92;-;-;-
194;CANDIDA;3210;16;629;635;0;0;4,92;5,02;-;-;-
195;CANDIDA;3227;16;628;640;0;0;4,99;4,99;-;-;-
196;CANDIDA;3243;16;623;631;0;0;4,89;4,97;-;-;-
197;CANDIDA;3260;16;622;624;0;0;4,94;5,01;-;-;-
198;CANDIDA;3277;16;622;617;0;0;4,97;4,89;-;-;-
199;CANDIDA;3293;16;613;631;0;0;4,97;4,91;-;-;-
200;CANDIDA;3310;16;633;614;0;0;4,92;4,94;-;-;-
201;CANDIDA;3327;16;623;631;0;0;4,91;4,91;-;-;-
202;CANDIDA;3343;16;629;625;0;0;4,91;4,89;-;-;-
203;CANDIDA;3360;16;652;635;0;0;4,88;4,88;-;-;-
204;CANDIDA;3376;16;636;645;0;0;4,89;4,84;-;-;-
205;CANDIDA;3393;16;646;645;0;0;4,88;4,89;-;-;-
206;CANDIDA;3410;16;642;660;0;0;4,89;4,84;-;-;-
207;CANDIDA;3426;16;648;648;0;0;4,8;4,91;-;-;-
208;CANDIDA;3443;16;628;637;0;0;4,89;4,83;-;-;-
209;CANDIDA;3460;16;643;641;0;0;4,89;4,78;-;-;-
210;CANDIDA;3476;16;660;664;0;0;4,88;4,88;-;-;-
211;CANDIDA;3493;16;660;653;0;0;4,92;4,8;-;-;-
212;CANDIDA;3509;16;630;654;0;0;4,94;4,92;-;-;-
213;CANDIDA;3526;16;648;681;0;0;4,92;4,91;-;-;-
214;CANDIDA;3543;16;658;910;0;0;4,94;4,86;-;-;-
215;CANDIDA;3626;83;502;393;0;0;0;-1;-;-;-
216;CANDIDA;3643;16;710;920;0;0;0;4,84;-;-;-
217;CANDIDA;3659;16;571;602;0;0;-1;4,92;-;-;-
218;CANDIDA;3676;16;710;693;0;0;5,01;4,81;-;-;-
219;CANDIDA;3692;16;690;651;0;0;-1;4,97;-;-;-
220;CANDIDA;3709;16;720;596;0;0;5,13;4,92;-;-;-
221;CANDIDA;3726;16;720;602;0;0;5,15;4,94;-;-;-
222;CANDIDA;3742;16;718;596;0;0;5,02;4,97;-;-;-
223;CANDIDA;3759;16;710;605;0;0;5,05;5,01;-;-;-
224;CANDIDA;3776;16;730;578;0;0;5,07;4,96;-;-;-
225;CANDIDA;3792;16;712;593;0;0;5,05;5,05;-;-;-
226;CANDIDA;3809;16;715;596;0;0;5,1;5,02;-;-;-
227;CANDIDA;3826;16;726;612;0;0;5,02;5,09;-;-;-
228;CANDIDA;3842;16;726;599;0;0;5,1;5,05;-;-;-
229;CANDIDA;3859;16;729;586;0;0;5,09;5,09;-;-;-
230;CANDIDA;3875;16;716;612;0;0;5,12;5,09;-;-;-
231;CANDIDA;3892;16;725;612;0;0;5,05;5,07;-;-;-
232;CANDIDA;3909;16;725;605;0;0;5,13;5,05;-;-;-
233;CANDIDA;3925;16;732;601;0;0;5,12;5,02;-;-;-
234;CANDIDA;3942;16;747;628;0;0;5,12;5,09;-;-;-
235;CANDIDA;3959;16;727;605;0;0;5,1;5,05;-;-;-
236;CANDIDA;3975;16;733;602;0;0;5,07;5,09;-;-;-
237;CANDIDA;3992;16;730;615;0;0;5,18;5,12;-;-;-
238;CANDIDA;4009;16;739;608;0;0;5,07;5,07;-;-;-
239;CANDIDA;4025;16;733;612;0;0;5,05;5,1;-;-;-
240;CANDIDA;4042;16;763;599;0;0;5,09;5,07;-;-;-
241;CANDIDA;4058;16;756;611;0;0;5,01;4,97;-;-;-
242;CANDIDA;4075;16;726;604;0;0;5,04;5,04;-;-;-
243;CANDIDA;4092;16;733;601;0;0;5,01;4,96;-;-;-
244;CANDIDA;4108;16;735;604;0;0;5,01;4,92;-;-;-
245;CANDIDA;4125;16;745;614;0;0;4,97;4,99;-;-;-
246;CANDIDA;4142;16;752;589;0;0;4,88;4,94;-;-;-
247;CANDIDA;4158;16;742;601;0;0;4,89;4,96;-;-;-
248;CANDIDA;4175;16;757;599;0;0;4,91;4,91;-;-;-
249;CANDIDA;4192;16;756;598;0;0;4,89;4,86;-;-;-
250;CANDIDA;4208;16;749;602;0;0;4,83;4,94;-;-;-
251;CANDIDA;4225;16;737;589;0;0;4,86;4,88;-;-;-
252;CANDIDA;4241;16;720;593;0;0;4,83;4,88;-;-;-
253;CANDIDA;4258;16;722;593;0;0;4,81;4,84;-;-;-
254;CANDIDA;4275;16;719;596;0;0;4,76;4,8;-;-;-
255;CANDIDA;4291;16;727;596;0;0;4,78;4,83;-;-;-
256;CANDIDA;4308;16;727;589;0;0;4,75;4,78;-;-;-
257;CANDIDA;4325;16;725;606;0;0;4,83;4,78;-;-;-
258;CANDIDA;4341;16;726;579;0;0;4,73;4,73;-;-;-
259;CANDIDA;4358;16;732;576;0;0;4,78;4,83;-;-;-
260;CANDIDA;4375;16;749;617;0;0;4,84;4,84;-;-;-
261;CANDIDA;4391;16;723;609;0;0;4,76;4,76;-;-;-
262;CANDIDA;4408;16;730;601;0;0;4,7;4,78;-;-;-
263;CANDIDA;4424;16;729;582;0;0;4,8;4,72;-;-;-
264;CANDIDA;4441;16;730;580;0;0;4,78;4,81;-;-;-
265;CANDIDA;4458;16;729;589;0;0;4,76;4,75;-;-;-
266;CANDIDA;4474;16;727;589;0;0;4,76;4,78;-;-;-
267;CANDIDA;4491;16;733;586;0;0;4,73;4,75;-;-;-
268;CANDIDA;4508;16;730;591;0;0;4,8;4,72;-;-;-
269;CANDIDA;4524;16;729;618;0;0;4,76;4,78;-;-;-
270;CANDIDA;4541;16;729;566;0;0;4,72;4,65;-;-;-
271;CANDIDA;4558;16;729;582;0;0;4,72;4,67;-;-;-
272;CANDIDA;4574;16;732;572;0;0;4,67;4,67;-;-;-
273;CANDIDA;4591;16;723;585;0;0;4,83;4,67;-;-;-
274;CANDIDA;4607;16;739;588;0;0;4,76;4,67;-;-;-
275;CANDIDA;4624;16;723;589;0;0;4,68;4,59;-;-;-
276;CANDIDA;4641;16;730;579;0;0;4,7;4,65;-;-;-
277;CANDIDA;4657;16;725;576;0;0;4,64;4,62;-;-;-
278;CANDIDA;4674;16;727;583;0;0;4,64;4,68;-;-;-
279;CANDIDA;4691;16;716;580;0;0;4,65;4,65;-;-;-
280;CANDIDA;4707;16;722;583;0;0;4,68;4,68;-;-;-
281;CANDIDA;4724;16;732;578;0;0;4,67;4,54;-;-;-
282;CANDIDA;4740;16;726;579;0;0;4,72;4,64;-;-;-
283;CANDIDA;4757;16;729;588;0;0;4,62;4,64;-;-;-
284;CANDIDA;4774;16;723;576;0;0;4,65;4,6;-;-;-
285;CANDIDA;4790;16;755;588;0;0;4,68;4,65;-;-;-
286;CANDIDA;4807;16;727;566;0;0;4,72;4,59;-;-;-
287;CANDIDA;4824;16;722;570;0;0;4,64;4,6;-;-;-
288;CANDIDA;4840;16;722;570;0;0;4,67;4,56;-;-;-
289;CANDIDA;4857;16;720;566;0;0;4,62;4,57;-;-;-
290;CANDIDA;4874;16;729;550;0;0;4,67;4,52;-;-;-
291;CANDIDA;4890;16;730;579;0;0;4,78;4,7;-;-;-
292;CANDIDA;4907;16;742;565;0;0;4,68;4,68;-;-;-
293;CANDIDA;4923;16;732;572;0;0;4,7;4,67;-;-;-
294;CANDIDA;4940;16;722;569;0;0;4,7;4,65;-;-;-
295;CANDIDA;4957;16;729;567;0;0;4,78;4,64;-;-;-
296;CANDIDA;4973;16;622;546;0;0;4,73;4,67;-;-;-
297;CANDIDA;4990;16;629;552;0;0;4,68;4,72;-;-;-
298;CANDIDA;5007;16;649;550;0;0;4,78;4,7;-;-;-
299;CANDIDA;5023;16;633;550;0;0;4,81;4,73;-;-;-
300;CANDIDA;5040;16;638;552;0;0;4,83;4,8;-;-;-
301;CANDIDA;5057;16;613;553;0;0;4,86;4,75;-;-;-
302;CANDIDA;5073;16;611;553;0;0;4,86;4,75;-;-;-
303;CANDIDA;5090;16;625;560;0;0;4,88;4,73;-;-;-
304;CANDIDA;5106;16;635;563;0;0;4,86;4,89;-;-;-
305;CANDIDA;5123;16;596;554;0;0;4,84;4,8;-;-;-
306;CANDIDA;5140;16;615;553;0;0;4,88;4,76;-;-;-
307;CANDIDA;5156;16;602;556;0;0;4,94;4,81;-;-;-
308;CANDIDA;5173;16;603;556;0;0;4,99;4,91;-;-;-
309;CANDIDA;5190;16;650;559;0;0;5,01;4,83;-;-;-
310;CANDIDA;5206;16;615;557;0;0;4,91;4,96;-;-;-
311;CANDIDA;5223;16;648;566;0;0;4,96;4,96;-;-;-
312;CANDIDA;5240;16;643;549;0;0;4,99;4,89;-;-;-
313;CANDIDA;5256;16;642;565;0;0;4,94;5,04;-;-;-
314;CANDIDA;5273;16;630;559;0;0;5,05;4,94;-;-;-
315;CANDIDA;5289;16;635;565;0;0;5,01;4,94;-;-;-
316;CANDIDA;5306;16;613;539;0;0;5,1;4,91;-;-;-
317;CANDIDA;5323;16;638;537;0;0;5,07;4,89;-;-;-
318;CANDIDA;5339;16;602;546;0;0;5,07;4,92;-;-;-
319;CANDIDA;5356;16;621;540;0;0;5,09;4,99;-;-;-
320;CANDIDA;5373;16;612;550;0;0;5,13;4,94;-;-;-
321;CANDIDA;5389;16;615;557;0;0;5,15;5,1;-;-;-
322;CANDIDA;5406;16;628;553;0;0;5,07;5,07;-;-;-
323;CANDIDA;5423;16;623;566;0;0;5,07;5,17;-;-;-
324;CANDIDA;5439;16;618;556;0;0;5,12;5,17;-;-;-
325;CANDIDA;5456;16;616;557;0;0;5,13;5,17;-;-;-
326;CANDIDA;5472;16;626;557;0;0;5,21;5,15;-;-;-
327;CANDIDA;5489;16;615;553;0;0;5,13;5,13;-;-;-
328;CANDIDA;5506;16;622;547;0;0;5,2;5,15;-;-;-
329;CANDIDA;5522;16;612;554;0;0;5,26;5,17;-;-;-
330;CANDIDA;5539;16;608;570;0;0;5,25;5,21;-;-;-
331;CANDIDA;5556;16;609;567;0;0;5,33;5,2;-;-;-
332;CANDIDA;5572;16;611;560;0;0;5,31;5,2;-;-;-
333;CANDIDA;5589;16;616;560;0;0;5,25;5,2;-;-;-
334;CANDIDA;5606;16;608;547;0;0;5,23;5,17;-;-;-
335;CANDIDA;5622;16;626;570;0;0;5,34;5,18;-;-;-
336;CANDIDA;5639;16;613;570;0;0;5,28;5,23;-;-;-
337;CANDIDA;5655;16;608;585;0;0;5,31;5,25;-;-;-
338;CANDIDA;5672;16;612;572;0;0;5,33;5,26;-;-;-
339;CANDIDA;5689;16;606;570;0;0;5,29;5,33;-;-;-
340;CANDIDA;5705;16;613;583;0;0;5,37;5,34;-;-;-
341;CANDIDA;5722;16;609;567;0;0;5,31;5,33;-;-;-
342;CANDIDA;5739;16;611;566;0;0;5,31;5,31;-;-;-
343;CANDIDA;5755;16;618;556;0;0;5,17;5,25;-;-;-
344;CANDIDA;5772;16;494;549;0;0;5,39;5,26;-;-;-
345;CANDIDA;5788;16;448;488;0;0;5,33;5,28;-;-;-
346;CANDIDA;5805;16;471;504;0;0;5,29;5,23;-;-;-
347;CANDIDA;5822;16;456;498;0;0;5,31;5,21;-;-;-
348;CANDIDA;5838;16;464;500;0;0;5,21;5,33;-;-;-
349;CANDIDA;5855;16;462;501;0;0;5,33;5,31;-;-;-
350;CANDIDA;5872;16;461;510;0;0;5,33;5,28;-;-;-
351;CANDIDA;5888;16;461;495;0;0;5,26;5,2;-;-;-
352;CANDIDA;5905;16;469;494;0;0;5,21;5,21;-;-;-
353;CANDIDA;5922;16;459;500;0;0;5,26;5,29;-;-;-
354;CANDIDA;5938;16;462;505;0;0;5,23;5,36;-;-;-
355;CANDIDA;5955;16;469;500;0;0;5,26;5,26;-;-;-
356;CANDIDA;5971;16;476;502;0;0;5,21;5,25;-;-;-
357;CANDIDA;5988;16;455;500;0;0;5,18;5,23;-;-;-
358;CANDIDA;6005;16;458;511;0;0;5,18;5,25;-;-;-
359;CANDIDA;6021;16;446;507;0;0;5,17;5,23;-;-;-
360;CANDIDA;6038;16;466;515;0;0;5,23;5,21;-;-;-
361;CANDIDA;6055;16;464;501;0;0;5,05;5,31;-;-;-
362;CANDIDA;6071;16;454;488;0;0;5,13;5,2;-;-;-
363;CANDIDA;6088;16;472;488;0;0;5,1;5,17;-;-;-
364;CANDIDA;6105;16;476;498;0;0;5,13;5,17;-;-;-
365;CANDIDA;6121;16;474;513;0;0;5,15;5,25;-;-;-
366;CANDIDA;6138;16;444;505;0;0;5,15;5,25;-;-;-
367;CANDIDA;6154;16;472;500;0;0;5,18;5,17;-;-;-
368;CANDIDA;6171;16;640;500;0;0;5,28;5,23;-;-;-
369;CANDIDA;6188;16;837;501;0;0;5,25;5,2;-;-;-
370;CANDIDA;6204;16;807;497;0;0;5,28;5,18;-;-;-
371;CANDIDA;6221;16;820;494;0;0;5,25;5,15;-;-;-
372;CANDIDA;6238;16;837;500;0;0;5,31;5,17;-;-;-
373;CANDIDA;6254;16;836;518;0;0;5,28;5,21;-;-;-
374;CANDIDA;6271;16;864;514;0;0;5,29;5,17;-;-;-
375;CANDIDA;6288;16;820;501;0;0;5,31;5,13;-;-;-
376;CANDIDA;6304;16;823;502;0;0;5,34;5,18;-;-;-
377;CANDIDA;6321;16;829;498;0;0;5,28;5,17;-;-;-
378;CANDIDA;6337;16;852;508;0;0;5,21;5,2;-;-;-
379;CANDIDA;6354;16;827;500;0;0;5,26;5,12;-;-;-
380;CANDIDA;6371;16;853;510;0;0;5,2;5,13;-;-;-
381;CANDIDA;6387;16;822;505;0;0;5,33;5,2;-;-;-
382;CANDIDA;6404;16;824;495;0;0;5,21;5,13;-;-;-
383;CANDIDA;6421;16;833;507;0;0;5,18;5,18;-;-;-
384;CANDIDA;6437;16;850;517;0;0;5,21;5,17;-;-;-
385;CANDIDA;6454;16;823;518;0;0;5,25;5,2;-;-;-
386;CANDIDA;6471;16;866;511;0;0;5,26;5,18;-;-;-
387;CANDIDA;6487;16;839;523;0;0;5,25;5,18;-;-;-
388;CANDIDA;6504;16;823;530;0;0;5,28;5,2;-;-;-
